notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
2020-04-06,AgeGroup_30-34,N/A,4
2020-04-06,AgeGroup_35-39,N/A,4
2020-04-06,AgeGroup_40-44,N/A,4
2020-04-06,AgeGroup_45-49,N/A,1
2020-04-06,AgeGroup_50-54,N/A,2
2020-04-06,AgeGroup_55-59,N/A,5
2020-04-06,AgeGroup_60-64,N/A,4
2020-04-06,AgeGroup_65-69,N/A,4
2020-04-06,AgeGroup_70+,N/A,5
2020-04-07,AgeGroup_0-19,N/A,3
2020-04-07,AgeGroup_20-24,N/A,8
2020-04-07,AgeGroup_25-29,N/A,2
2020-04-07,AgeGroup_30-34,N/A,6
2020-04-07,AgeGroup_35-39,N/A,4
2020-04-07,AgeGroup_45-49,N/A,2
2020-04-07,AgeGroup_55-59,N/A,4
2020-04-07,AgeGroup_60-64,N/A,11
2020-04-07,AgeGroup_65-69,N/A,2
2020-04-07,AgeGroup_70+,N/A,2
2020-04-08,AgeGroup_0-19,N/A,1
2020-04-08,AgeGroup_20-24,N/A,4
2020-04-08,AgeGroup_25-29,N/A,5
2020-04-08,AgeGroup_30-34,N/A,4
2020-04-08,AgeGroup_35-39,N/A,3
2020-04-08,AgeGroup_40-44,N/A,2
2020-04-08,AgeGroup_45-49,N/A,6
2020-04-08,AgeGroup_50-54,N/A,4
2020-04-08,AgeGroup_55-59,N/A,6
2020-04-08,AgeGroup_60-64,N/A,1
2020-04-08,AgeGroup_65-69,N/A,3
2020-04-08,AgeGroup_70+,N/A,5
2020-04-09,AgeGroup_20-24,N/A,4
2020-04-09,AgeGroup_25-29,N/A,5
2020-04-09,AgeGroup_30-34,N/A,3
2020-04-09,AgeGroup_35-39,N/A,5
2020-04-09,AgeGroup_40-44,N/A,4
2020-04-09,AgeGroup_45-49,N/A,1
2020-04-09,AgeGroup_55-59,N/A,3
2020-04-09,AgeGroup_60-64,N/A,5
2020-04-09,AgeGroup_65-69,N/A,4
2020-04-09,AgeGroup_70+,N/A,7
2020-04-10,AgeGroup_0-19,N/A,2
2020-04-10,AgeGroup_20-24,N/A,3
2020-04-10,AgeGroup_25-29,N/A,4
2020-04-10,AgeGroup_35-39,N/A,4
2020-04-10,AgeGroup_40-44,N/A,2
2020-04-10,AgeGroup_45-49,N/A,2
2020-04-10,AgeGroup_50-54,N/A,1
2020-04-10,AgeGroup_55-59,N/A,2
2020-04-10,AgeGroup_60-64,N/A,5
2020-04-10,AgeGroup_65-69,N/A,2
2020-04-10,AgeGroup_70+,N/A,3
2020-04-11,AgeGroup_20-24,N/A,4
2020-04-11,AgeGroup_25-29,N/A,2
2020-04-11,AgeGroup_30-34,N/A,3
2020-04-11,AgeGroup_35-39,N/A,1
2020-04-11,AgeGroup_45-49,N/A,1
2020-04-11,AgeGroup_55-59,N/A,1
2020-04-11,AgeGroup_60-64,N/A,2
2020-04-11,AgeGroup_65-69,N/A,3
2020-04-11,AgeGroup_70+,N/A,1
2020-04-12,AgeGroup_0-19,N/A,2
2020-04-12,AgeGroup_25-29,N/A,2
2020-04-12,AgeGroup_30-34,N/A,1
2020-04-12,AgeGroup_35-39,N/A,1
2020-04-12,AgeGroup_55-59,N/A,1
2020-04-12,AgeGroup_60-64,N/A,1
2020-04-12,AgeGroup_70+,N/A,1
2020-04-13,AgeGroup_20-24,N/A,1
2020-04-13,AgeGroup_25-29,N/A,1
2020-04-13,AgeGroup_30-34,N/A,1
2020-04-13,AgeGroup_35-39,N/A,1
2020-04-13,AgeGroup_55-59,N/A,1
2020-04-13,AgeGroup_65-69,N/A,1
2020-04-13,AgeGroup_70+,N/A,1
2020-04-14,AgeGroup_0-19,N/A,1
2020-04-14,AgeGroup_20-24,N/A,1
2020-04-14,AgeGroup_25-29,N/A,3
2020-04-14,AgeGroup_30-34,N/A,3
2020-04-14,AgeGroup_35-39,N/A,1
2020-04-14,AgeGroup_40-44,N/A,2
2020-04-14,AgeGroup_45-49,N/A,2
2020-04-14,AgeGroup_50-54,N/A,1
2020-04-14,AgeGroup_60-64,N/A,1
2020-04-14,AgeGroup_65-69,N/A,1
2020-04-14,AgeGroup_70+,N/A,5
2020-04-15,AgeGroup_0-19,N/A,1
2020-04-15,AgeGroup_30-34,N/A,2
2020-04-15,AgeGroup_35-39,N/A,2
2020-04-15,AgeGroup_40-44,N/A,1
2020-04-15,AgeGroup_45-49,N/A,3
2020-04-15,AgeGroup_55-59,N/A,1
2020-04-15,AgeGroup_60-64,N/A,1
2020-04-15,AgeGroup_65-69,N/A,1
2020-04-15,AgeGroup_70+,N/A,10
2020-04-16,AgeGroup_0-19,N/A,2
2020-04-16,AgeGroup_20-24,N/A,2
2020-04-16,AgeGroup_25-29,N/A,1
2020-04-16,AgeGroup_30-34,N/A,2
2020-04-16,AgeGroup_35-39,N/A,2
2020-04-16,AgeGroup_40-44,N/A,2
2020-04-16,AgeGroup_65-69,N/A,1
2020-04-16,AgeGroup_70+,N/A,10
2020-04-17,AgeGroup_20-24,N/A,1
2020-04-17,AgeGroup_25-29,N/A,2
2020-04-17,AgeGroup_45-49,N/A,3
2020-04-17,AgeGroup_50-54,N/A,2
2020-04-17,AgeGroup_55-59,N/A,2
2020-04-17,AgeGroup_65-69,N/A,1
2020-04-17,AgeGroup_70+,N/A,4
2020-04-18,AgeGroup_0-19,N/A,1
2020-04-18,AgeGroup_20-24,N/A,2
2020-04-18,AgeGroup_25-29,N/A,2
2020-04-18,AgeGroup_30-34,N/A,1
2020-04-18,AgeGroup_35-39,N/A,1
2020-04-18,AgeGroup_50-54,N/A,1
2020-04-18,AgeGroup_55-59,N/A,2
2020-04-18,AgeGroup_70+,N/A,7
2020-04-19,AgeGroup_30-34,N/A,1
2020-04-19,AgeGroup_40-44,N/A,1
2020-04-19,AgeGroup_55-59,N/A,1
2020-04-19,AgeGroup_60-64,N/A,1
2020-04-19,AgeGroup_70+,N/A,3
2020-04-20,AgeGroup_30-34,N/A,2
2020-04-21,AgeGroup_40-44,N/A,1
2020-04-21,AgeGroup_45-49,N/A,1
2020-04-21,AgeGroup_50-54,N/A,1
2020-04-21,AgeGroup_65-69,N/A,1
2020-04-21,AgeGroup_70+,N/A,2
2020-04-22,AgeGroup_30-34,N/A,1
2020-04-22,AgeGroup_40-44,N/A,1
2020-04-22,AgeGroup_60-64,N/A,1
2020-04-23,AgeGroup_0-19,N/A,1
2020-04-23,AgeGroup_20-24,N/A,1
2020-04-23,AgeGroup_45-49,N/A,3
2020-04-23,AgeGroup_65-69,N/A,1
2020-04-23,AgeGroup_70+,N/A,2
2020-04-24,AgeGroup_25-29,N/A,2
